# Convergencia ecutwfc — pasos consecutivos   umbral: 0.1 mRy
# conv_thr SCF: 1e-9 Ry
#
# ecutwfc(Ry)   E_total(Ry)            |ΔE|(mRy)       <umbral?   consec_ok
20             -39.50131503             ---            ---          primero
30             -39.50222004             0.90501        NO           0/5
40             -39.50245890             0.23886        NO           0/5
50             -39.50249389             0.03499        SI           1/5
60             -39.50250049             0.00660        SI           2/5
80             -39.50250857             0.00808        SI           3/5
100            -39.50251175             0.00318        SI           4/5
120            -39.50251287             0.00112        SI           5/5
140            -39.50251352             0.00065        SI           6/5
160            -39.50251376             0.00024        SI           7/5
180            -39.50251395             0.00019        SI           8/5
200            -39.50251405             0.00010        SI           9/5
