# Convergencia k-grid — ecutwfc: 38.0 Ry   umbral: 0.1 mRy
# conv_thr SCF: 1e-9 Ry
#
# k-grid       E_total(Ry)            |ΔE|(mRy)       <umbral?   consec
4x4x4          -39.48085243             ---            ---          primero
8x8x8          -39.50149073             20.63830       NO           0/5
12x12x12        -39.50243378             0.94305        NO           0/5
16x16x16        -39.50225581             0.17797        NO           0/5
20x20x20        -39.50185512             0.40069        NO           0/5
24x24x24        -39.50179528             0.05984        SI           1/5
28x28x28        -39.50185290             0.05762        SI           2/5
32x32x32        -39.50191196             0.05906        SI           3/5
36x36x36        -39.50191820             0.00624        SI           4/5
40x40x40        -39.50190467             0.01353        SI           5/5
44x44x44        -39.50189532             0.00935        SI           6/5
48x48x48        -39.50189685             0.00153        SI           7/5
