# Convergencia ecutwfc — pasos consecutivos   umbral: 0.1 mRy
# conv_thr SCF: 1e-9 Ry
#
# ecutwfc(Ry)   E_total(Ry)            |ΔE|(mRy)       <umbral?   consec_ok
20             -36.81240477             ---            ---          primero
30             -36.88008423             67.67946       NO           0/5
40             -36.88640251             6.31828        NO           0/5
50             -36.88751840             1.11589        NO           0/5
60             -36.88768403             0.16563        NO           0/5
80             -36.88805494             0.37091        NO           0/5
100            -36.88807569             0.02075        SI           1/5
120            -36.88811874             0.04305        SI           2/5
140            -36.88813529             0.01655        SI           3/5
160            -36.88814505             0.00976        SI           4/5
180            -36.88815094             0.00589        SI           5/5
200            -36.88815295             0.00201        SI           6/5
