# Convergencia ecutwfc — pasos consecutivos   umbral: 0.1 mRy
# conv_thr SCF: 1e-9 Ry
#
# ecutwfc(Ry)   E_total(Ry)            |ΔE|(mRy)       <umbral?   consec_ok
20             -35.57897761             ---            ---          primero
30             -35.63794466             58.96705       NO           0/5
40             -35.64032651             2.38185        NO           0/5
50             -35.64042489             0.09838        SI           1/5
60             -35.64048521             0.06032        SI           2/5
80             -35.64073142             0.24621        NO           0/5
100            -35.64069143             0.03999        SI           1/5
120            -35.64069101             0.00042        SI           2/5
140            -35.64070639             0.01538        SI           3/5
160            -35.64069074             0.01565        SI           4/5
180            -35.64068807             0.00267        SI           5/5
200            -35.64069522             0.00715        SI           6/5
