# Convergencia k-grid — ecutwfc: 100.0 Ry   umbral: 0.1 mRy
# conv_thr SCF: 1e-9 Ry
#
# k-grid       E_total(Ry)            |ΔE|(mRy)       <umbral?   consec
4x4x1          -35.64313189             ---            ---          primero
8x8x1          -35.64064990             2.48199        NO           0/5
12x12x1        -35.64034793             0.30197        NO           0/5
16x16x1        -35.64085137             0.50344        NO           0/5
20x20x1        -35.64123866             0.38729        NO           0/5
24x24x1        -35.64068492             0.55374        NO           0/5
28x28x1        -35.64069143             0.00651        SI           1/5
32x32x1        -35.64069359             0.00216        SI           2/5
36x36x1        -35.64069550             0.00191        SI           3/5
40x40x1        -35.64069425             0.00125        SI           4/5
44x44x1        -35.64069468             0.00043        SI           5/5
48x48x1        -35.64069457             0.00011        SI           6/5
