# Convergencia k-grid — ecutwfc: 100.0 Ry   umbral: 0.1 mRy
# conv_thr SCF: 1e-9 Ry
#
# k-grid       E_total(Ry)            |ΔE|(mRy)       <umbral?   consec
4x4x1          -36.89042386             ---            ---          primero
8x8x1          -36.88804160             2.38226        NO           0/5
12x12x1        -36.88772866             0.31294        NO           0/5
16x16x1        -36.88822831             0.49965        NO           0/5
20x20x1        -36.88857276             0.34445        NO           0/5
24x24x1        -36.88806872             0.50404        NO           0/5
28x28x1        -36.88807569             0.00697        SI           1/5
32x32x1        -36.88807778             0.00209        SI           2/5
36x36x1        -36.88807974             0.00196        SI           3/5
40x40x1        -36.88807846             0.00128        SI           4/5
44x44x1        -36.88807890             0.00044        SI           5/5
48x48x1        -36.88807879             0.00011        SI           6/5
