# Convergencia ecutwfc — pasos consecutivos   umbral: 0.1 mRy
# Si FCC diamante, a=5.431 A, k=12x12x12, conv_thr SCF: 1e-9 Ry
#
# ecutwfc(Ry)   E_total(Ry)            |ΔE|(mRy)       <umbral?   consec_ok
15             -15.74949911             ---            ---          primero
20             -15.75494542             5.44631        NO           0/5
25             -15.75689237             1.94695        NO           0/5
30             -15.75930826             2.41589        NO           0/5
35             -15.76114781             1.83955        NO           0/5
40             -15.76209938             0.95157        NO           0/5
45             -15.76239761             0.29823        NO           0/5
50             -15.76243967             0.04206        SI           1/5
60             -15.76248372             0.04405        SI           2/5
70             -15.76258701             0.10329        NO           0/5
80             -15.76263881             0.05180        SI           1/5
90             -15.76264690             0.00809        SI           2/5
100            -15.76264817             0.00127        SI           3/5
110            -15.76265200             0.00383        SI           4/5
120            -15.76265511             0.00311        SI           5/5
130            -15.76265604             0.00093        SI           6/5
140            -15.76265612             0.00008        SI           7/5
150            -15.76265637             0.00025        SI           8/5
160            -15.76265686             0.00049        SI           9/5
